FID,the_geom,COUNTRY
police_station_wgs84.83,POINT (-76.75742255658862 17.97378022338029),JAMAICA
police_station_wgs84.84,POINT (-76.89116072278496 18.246327510876007),JAMAICA
police_station_wgs84.85,POINT (-76.71588798696605 17.949745464359143),JAMAICA
police_station_wgs84.86,POINT (-76.2799077696509 18.033596270185424),JAMAICA
police_station_wgs84.87,POINT (-76.76935413826531 18.01966248257081),JAMAICA
police_station_wgs84.88,POINT (-76.84710573315421 18.027220759180747),JAMAICA
police_station_wgs84.89,POINT (-76.82762849870703 18.015015289928158),JAMAICA
police_station_wgs84.90,POINT (-76.74007343039659 17.994701682202493),JAMAICA
police_station_wgs84.91,POINT (-76.72443196451331 18.050871180133058),JAMAICA
police_station_wgs84.92,POINT (-76.82707365512157 17.987664088783404),JAMAICA
police_station_wgs84.93,POINT (-76.7997077564402 17.98783051160173),JAMAICA
police_station_wgs84.94,POINT (-76.79543078869843 17.979309644014887),JAMAICA
police_station_wgs84.95,POINT (-76.7910230294528 17.978328355199153),JAMAICA
police_station_wgs84.96,POINT (-76.78522250796341 17.98140835696318),JAMAICA
police_station_wgs84.97,POINT (-76.79822844553402 17.970469036412418),JAMAICA
police_station_wgs84.98,POINT (-76.79382763641063 17.968474615228164),JAMAICA
police_station_wgs84.99,POINT (-76.78676318923036 17.969520546441963),JAMAICA
police_station_wgs84.100,POINT (-76.77738401302653 17.978223300826233),JAMAICA
police_station_wgs84.101,POINT (-76.77464860961038 18.003509832720994),JAMAICA
police_station_wgs84.102,POINT (-76.80331817057625 17.965494785062944),JAMAICA
police_station_wgs84.103,POINT (-78.20162793630605 18.383488497770582),JAMAICA
police_station_wgs84.104,POINT (-76.94938658780954 18.404363974164205),JAMAICA
police_station_wgs84.105,POINT (-77.92418622083042 18.490515118572294),JAMAICA
police_station_wgs84.106,POINT (-77.8644029248459 18.520970216461162),JAMAICA
police_station_wgs84.107,POINT (-77.92193717647982 18.476258261910925),JAMAICA
police_station_wgs84.108,POINT (-77.90446609559154 18.4479527394431),JAMAICA
police_station_wgs84.109,POINT (-77.79277750552681 18.446951430402486),JAMAICA
police_station_wgs84.110,POINT (-77.72630390886803 18.415339876697217),JAMAICA
police_station_wgs84.111,POINT (-77.8114280951465 18.400056710332247),JAMAICA
police_station_wgs84.112,POINT (-77.93539691842952 18.406511968688157),JAMAICA
police_station_wgs84.113,POINT (-77.53537393035481 18.468508780689834),JAMAICA
police_station_wgs84.114,POINT (-77.45823176828625 18.470219301409372),JAMAICA
police_station_wgs84.115,POINT (-77.40027360257687 18.458967676186724),JAMAICA
police_station_wgs84.116,POINT (-77.33526580527118 18.462747975720188),JAMAICA
police_station_wgs84.117,POINT (-77.54345609532916 18.42179544063448),JAMAICA
